value,count
"air.texture|air.location_index|air.read|air.arg_type_name|texture1d<int, read>|air.arg_name|tex",428
"air.texture|air.location_index|air.read|air.arg_type_name|texture1d<uint, read>|air.arg_name|tex",428
"air.texture|air.location_index|air.read|air.arg_type_name|texture3d<half, read>|air.arg_name|tex",428
"air.texture|air.location_index|air.read|air.arg_type_name|texture3d<int, read>|air.arg_name|tex",428
"air.texture|air.location_index|air.read|air.arg_type_name|texture3d<uint, read>|air.arg_name|tex",428
air.buffer|air.buffer_size|air.location_index|air.read|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|Uniforms|air.arg_name|u,420
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|bool|air.arg_name|o,396
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|dev,360
air.buffer|air.location_index|air.read|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|con,360
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|tg,360
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|char|air.arg_name|out,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|bool|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uchar|air.arg_name|out,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|short|air.arg_name|out,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|ushort|air.arg_name|out,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|bool|air.arg_name|out,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|char|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uchar|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|short|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|ushort|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|inp,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|char|air.arg_name|o,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|short|air.arg_name|o,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uchar|air.arg_name|o,352
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|ushort|air.arg_name|o,352
air.visible_output|air.arg_type_name|uint,352
air.visible_input|air.arg_type_name|uint|air.arg_name|v,352
air.visible_function_reference|ld_visible_fn,352
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int3|air.arg_name|o,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint3|air.arg_name|o,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float2|air.arg_name|o,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float4|air.arg_name|o,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half2|air.arg_name|o,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half4|air.arg_name|o,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|o|air.arg_unused,340
air.vertex_input|air.location_index|air.arg_type_name|float3|air.arg_name|normal|air.arg_unused,340
air.vertex_input|air.location_index|air.arg_type_name|float2|air.arg_name|uv|air.arg_unused,340
air.vertex_input|air.location_index|air.arg_type_name|half4|air.arg_name|color|air.arg_unused,340
air.fragment_input|generated(6v_flatDv4_f)|air.flat|air.arg_type_name|float4|air.arg_name|v_flat|air.arg_unused,340
air.fragment_input|generated(4v_spDv4_f)|air.sample|air.perspective|air.arg_type_name|float4|air.arg_name|v_sp|air.arg_unused,340
air.fragment_input|generated(5v_snpDv4_f)|air.sample|air.no_perspective|air.arg_type_name|float4|air.arg_name|v_snp|air.arg_unused,340
air.fragment_input|user(uid)|air.flat|air.arg_type_name|uint|air.arg_name|v_user|air.arg_unused,340
air.fragment_input|generated(4v_cpDv4_f)|air.center|air.perspective|air.arg_type_name|float4|air.arg_name|v_cp|air.arg_unused,340
air.fragment_input|generated(5v_cnpDv4_f)|air.center|air.no_perspective|air.arg_type_name|float4|air.arg_name|v_cnp|air.arg_unused,340
air.fragment_input|generated(5v_ctpDv4_f)|air.centroid|air.perspective|air.arg_type_name|float4|air.arg_name|v_ctp|air.arg_unused,340
air.fragment_input|generated(6v_ctnpDv4_f)|air.centroid|air.no_perspective|air.arg_type_name|float4|air.arg_name|v_ctnp|air.arg_unused,340
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|fout,324
air.render_target_array_index|air.arg_type_name|uint|air.arg_name|rta,280
air.viewport_array_index|air.arg_type_name|uint|air.arg_name|vpa,280
"air.texture|air.location_index|air.sample|air.arg_type_name|texture1d<float, sample>|air.arg_name|t0|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|texture1d_array<float, sample>|air.arg_name|t1|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d_array<float, sample>|air.arg_name|t3|air.arg_unused",280
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d_ms<float, read>|air.arg_name|t4|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|texturecube<float, sample>|air.arg_name|t5|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|texturecube_array<float, sample>|air.arg_name|t6|air.arg_unused",280
