value,count
air..texturecube.array.atomic.fetch.and.atomic_fetch_and_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_max_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_min_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_or_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_xor_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.modify.atomic_max_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.modify.atomic_min_explicit_texture_cube_array_t,24
air.atomic.global.load,23
air.atomic.global.max.u,23
air.fract.f16,23
air.fmin.f16,22
air.sqrt.f16,22
air.atomic.global.store.i32,21
air.atomic.fence,21
air.atomic.global.store,21
air.fast_fract,21
air.floor,21
air.fmin,21
air.fract,21
air.floor.f64,21
air.fast_saturate.f32,20
air.get_height_depth_2d,19
air.get_width_depth_2d,19
air.fmin.f64,18
air..all,18
air..any,18
air..depth2d.get_width_depth_2d_t,18
air..depth2d.get_height_depth_2d_t,18
air..depth2d.get_num_mip_levels_depth_2d_t,18
air..depth2d.ms.get_width_depth_2d_ms_t,18
air..depth2d.ms.get_height_depth_2d_ms_t,18
air..depth2d.ms.get_num_samples_depth_2d_ms_t,18
air..depthcube.get_width_depth_cube_t,18
air..depthcube.get_height_depth_cube_t,18
air..depthcube.get_num_mip_levels_depth_cube_t,18
air.dot.f16,17
air.floor.f32,17
air.sqrt.f64,17
air.atomic.global.cmpxchg.weak.i32,16
air.convert.f.f32.u.i32,16
air.clz.i64,16
air.fabs.f16,16
air.fast_fract.f32,16
air.fmin.f32,16
air.sqrt.f32,16
air.render.command.draw_patches_render_command,16
air.tensor.tensor_t,15
air..is_null_tensor,15
air.store.system_coherent.volatile.i8.p1i8,14
air.fmax.f32,14
air.rsqrt.f16,14
air.trunc.f16,14
air.atomic.global.xchg.i32,13
