value,count
"texture2d_array<float, access::write>",944
"texture3d<float, access::write>",944
V,944
float *,944
threadgroup PackedTG,944
"int (*)(volatile device _atomic<int> *, int, metal::memory_order)",940
metal::uint (*)(metal::uint),922
FO4 &&,886
packed_float2,882
packed_float4,882
packed_half3,882
short3,882
ushort2,882
ushort4,882
char3,882
uchar2,882
uchar4,882
char2,882
char4,882
uchar3,882
short2,882
short4,882
ushort3,882
const threadgroup_imageblock Base &,880
const threadgroup_imageblock S &,872
threadgroup_imageblock S &&,872
device TypeHolder33 &&,870
threadgroup TypeHolder33 &&,870
device TypeHolder34 &&,870
threadgroup TypeHolder34 &&,870
device TypeHolder35 &&,870
threadgroup TypeHolder35 &&,870
device TypeHolder36 &&,870
threadgroup TypeHolder36 &&,870
device TypeHolder37 &&,870
threadgroup TypeHolder37 &&,870
device TypeHolder38 &&,870
threadgroup TypeHolder38 &&,870
device TypeHolder39 &&,870
threadgroup TypeHolder39 &&,870
device TypeHolder40 &&,870
threadgroup TypeHolder40 &&,870
device TypeHolder41 &&,870
threadgroup TypeHolder41 &&,870
device TypeHolder42 &&,870
threadgroup TypeHolder42 &&,870
device TypeHolder43 &&,870
threadgroup TypeHolder43 &&,870
device TypeHolder44 &&,870
threadgroup TypeHolder44 &&,870
device TypeHolder45 &&,870
threadgroup TypeHolder45 &&,870
device TypeHolder46 &&,870
threadgroup TypeHolder46 &&,870
device TypeHolder47 &&,870
threadgroup TypeHolder47 &&,870
device TypeHolder48 &&,870
threadgroup TypeHolder48 &&,870
device TypeHolder49 &&,870
threadgroup TypeHolder49 &&,870
device TypeHolder50 &&,870
threadgroup TypeHolder50 &&,870
"unsigned int (volatile device coherent(device) _atomic<unsigned int> *, unsigned int, metal::memory_order)",864
"const metal::_texture2d_gather<float, metal::access::sample, metal::__memory_coherence_threadgroup>",846
metal::simd_vote (bool),840
object_data AbiStruct &&,840
const object_data RayPayload &,840
object_data RayPayload &&,840
const object_data ArgBufArr &,840
object_data ArgBufArr &&,840
const object_data RayQuery &,840
object_data RayQuery &&,840
const AbiStruct &,828
const constant AbiStruct &,828
const AddressBox &,828
const constant AddressBox &,828
AddressBox &&,828
const NestedLayout &,828
const constant NestedLayout &,828
NestedLayout &&,828
const Derived &,828
const constant Derived &,828
Derived &&,828
const U &,828
const constant U &,828
U &&,828
const VO &,828
const constant VO &,828
const VOut &,828
const constant VOut &,828
const IoVertexOut &,828
const constant IoVertexOut &,828
const IoFragOutA &,828
const constant IoFragOutA &,828
const IoFragOutG &,828
const constant IoFragOutG &,828
const IoFragOutL &,828
const constant IoFragOutL &,828
const OpBox &,828
const constant OpBox &,828
OpBox &&,828
"const ArrayBox<float __attribute__((ext_vector_type(4))), 2> &",828
"const constant ArrayBox<float __attribute__((ext_vector_type(4))), 2> &",828
"ArrayBox<float __attribute__((ext_vector_type(4))), 2> &&",828
"void (texture2d<int, access::sample>, metal::sampler, device float *)",826
"void (texture2d<uint, access::sample>, metal::sampler, device float *)",826
"void (texture2d_array<half, access::sample>, metal::sampler, device float *)",826
"void (texture2d_array<int, access::sample>, metal::sampler, device float *)",826
"void (texture2d_array<uint, access::sample>, metal::sampler, device float *)",826
VIn,826
"void (int, int, device uint *)",826
const device coherent(device) VertexOut &,816
device coherent(device) VertexOut &&,816
unsigned short,804
"void (device float *, uint)",790
const SharedArgs &,782
SharedArgs &&,782
metal::raytracing::ray,780
VOc &&,768
"void (device int *, const constant int *, threadgroup int *, uint)",766
void (const VertexOut &),766
void (const device VertexOut &) threadgroup,766
void (const threadgroup VertexOut &) threadgroup,766
void (const constant VertexOut &) threadgroup,766
void (const VertexOut &) threadgroup,766
void (const constant VertexOut &) const constant,766
void (const VertexOut &) const constant,766
void (const device VertexOut &),766
void (const threadgroup VertexOut &),766
void (const constant VertexOut &),766
void (device VertexOut &&) threadgroup,766
void (threadgroup VertexOut &&) threadgroup,766
void (VertexOut &&) threadgroup,766
void (VertexOut &&) const constant,766
void (device VertexOut &&),766
void (threadgroup VertexOut &&),766
"VertexOut (VertexIn, const constant Uniforms &, uint, uint, uint, uint, uint)",766
"float4 (VertexOut, bool, float4, uint, uint, uint)",766
"void (device uint *, uint3, uint3, uint3, uint3, uint3, uint, uint, uint, uint)",766
"bool (volatile device _atomic<unsigned int> *, unsigned int *, unsigned int, metal::memory_order, metal::memory_order)",752
"const metal::_texture2d<float, metal::access::sample, metal::__memory_coherence_threadgroup>",752
const ray_data Base &,736
const ray_data S &,728
ray_data S &&,728
RayQuery,720
uint64_t,708
int (const constant AddressBox *),708
int (device AddressBox *),708
int (AddressBox *),708
bool (*)(metal::bool4),708
"metal::float4 (*)(metal::float4, metal::float4, metal::float4)",708
metal::float3 (*)(metal::float3),708
"metal::float3 (metal::float3, metal::float3, float)",708
"metal::float3 (metal::float3, metal::float3, metal::float3)",708
const device float4[2],708
